age,sex,state,combined_race,occupation,ancestry
64,Male,Florida,White,Construction Manager,English
38,Male,Florida,Cuban,Person,Cuban
52,Male,Florida,Black or African American,Line Supervisor,African American
66,Female,Florida,White,Health Services Manager,German
13,Female,Florida,Two or More Races,Person,Yemeni
9,Male,Florida,Venezuelan,Person,Not reported
21,Female,Florida,Peruvian,Person,Peruvian
47,Male,Florida,White,Communication Equipment Worker,Not reported
0,Female,Florida,Cuban,Person,Cuban
8,Female,Florida,Colombian,Person,Colombian
22,Male,Florida,Puerto Rican,Person,Puerto Rican
49,Male,Florida,Cuban,Construction Laborer,Cuban
41,Female,Florida,White,Nutritionist,North American
21,Male,Florida,Mexican,Cleaner,Mexican State
73,Male,Florida,White,Agricultural Manager,English
54,Female,Florida,White,Retail Sales Worker,French
44,Female,Florida,White,System Operator,German
45,Female,Florida,White,Transportation Ticket Agent,English
66,Female,Florida,White,Administrative Assistant,Not reported
42,Female,Florida,Salvadoran,Housekeeping Cleaner,Salvadoran
48,Female,Florida,White,Retail Sales Worker,English
55,Male,Florida,White,Childcare Administrator,American
41,Female,Florida,White,Manager,Uncodable entries
18,Female,Florida,All Other Spanish Hispanic Latino,Person,Not reported
54,Male,Florida,Filipino,Nursing Assistant,Filipino
28,Female,Florida,Cuban,Religious Worker,Cuban
19,Female,Florida,White,Person,United States
54,Male,Florida,White,Painting Worker,Not reported
80,Male,Florida,White,Person,French Canadian
2,Male,Florida,White,Person,Not reported
56,Male,Florida,White,Sales Worker,Not reported
49,Female,Florida,Colombian,Nursing Assistant,Colombian
68,Male,Florida,White,Person,American
59,Female,Florida,White,Person,Scottish
59,Female,Florida,White,Person,Irish
30,Female,Florida,Nicaraguan,Retail Salesperson,Nicaraguan
42,Female,Florida,White,Person,Irish
33,Male,Florida,Mexican,Police Officer,Mexican
20,Female,Florida,White,File Clerk,Scottish
64,Female,Florida,Two or More Races,Office Clerk,Italian
55,Female,Florida,White,Person,German
25,Male,Florida,Colombian,Person,Not reported
17,Female,Florida,White,Coach,Irish
89,Male,Florida,White,Person,Irish
24,Female,Florida,White,Waitress,Scottish
1,Female,Florida,Peruvian,Person,Polish
33,Female,Florida,White,Medical Assistant,German
58,Female,Florida,White,Registered Nurs,Not reported
16,Female,Florida,Dominican,Person,Hispanic
8,Female,Florida,Black or African American,Person,Haitian
88,Female,Florida,White,Person,German
34,Male,Florida,White,Person,Northern European
7,Female,Florida,White,Person,American
39,Female,Florida,White,Parking Attendant,Irish
50,Female,Florida,Spaniard,Marketing Manager,Spaniard
21,Male,Florida,Cuban,Person,Cuban
37,Male,Florida,White,Food Preparation Worker,Not reported
7,Female,Florida,Black or African American,Person,Haitian
65,Female,Florida,Puerto Rican,Person,Not reported
21,Male,Florida,White,Word Processor,German
32,Male,Florida,White,Computer Numerically Controlled Tool Operator,American
47,Male,Florida,White,Person,White
41,Male,Florida,Mexican,Driver Sales Worker,Mexican
21,Female,Florida,White,Bartender,Not reported
79,Male,Florida,White,Construction Manager,Italian
27,Female,Florida,Cuban,Health Services Manager,Not reported
53,Male,Florida,White,Fish Processing Worker,Irish
24,Male,Florida,White,Person,French
30,Female,Florida,Black or African American,Medical Assistant,African American
6,Male,Florida,Asian Indian,Person,Asian Indian
20,Male,Florida,White,Mobile Equipment Mechanic,Not reported
63,Female,Florida,White,Insurance Sales Agent,Italian
46,Male,Florida,White,Insurance Underwriter,American
46,Male,Florida,Black or African American,Building Cleaner,African American
11,Female,Florida,Honduran,Person,Brazilian
41,Male,Florida,White,Registered Nurs,Italian
57,Male,Florida,Argentinean,Driver Sales Worker,Italian
36,Female,Florida,White,Registered Nurs,Mixture
4,Female,Florida,Korean,Person,Korean
63,Male,Florida,White,Sales Representativ,American
75,Male,Florida,White,Postsecondary Teacher,Czech
68,Female,Florida,Two or More Races,Person,Irish
52,Male,Florida,White,Person,Italian
7,Female,Florida,Puerto Rican,Person,Puerto Rican
62,Male,Florida,White,Refrigeration Mechanic,German
6,Male,Florida,Black or African American,Person,African American
70,Male,Florida,White,Retail Sales Worker,British
69,Female,Florida,White,Person,German
45,Female,Florida,Colombian,Dental Hygienist,Colombian
16,Female,Florida,Ecuadorian,Person,American
60,Female,Florida,White,Person,American
76,Female,Florida,White,Person,English
18,Female,Florida,Two or More Races,Person,African American
15,Male,Florida,Cuban,Person,Cuban
11,Male,Florida,Bangladeshi,Person,Asian
48,Male,Florida,White,Automotive Service Technician,French
45,Male,Florida,Salvadoran,Order Filler,Hispanic
53,Female,Florida,White,Human Resources Manager,Irish
65,Female,Florida,Mexican,Person,European
73,Female,Florida,White,Person,Irish
