age,sex,state,combined_race,occupation,ancestry
46,Female,Wyoming,White,Related Worker,Not reported
3,Male,Wyoming,White,Person,Italian
20,Male,Wyoming,White,Highway Maintenance Worker,Not reported
57,Male,Wyoming,Mexican,Purchasing Agent,English
41,Male,Wyoming,White,Person,German
18,Male,Wyoming,Black or African American,Order Filler,African American
30,Female,Wyoming,White,Messenger,American
46,Male,Wyoming,White,Prevention Worker,Irish
10,Female,Wyoming,White,Person,English
43,Male,Wyoming,Asian Indian,Clinical Laboratory Technologist,Asian Indian
66,Male,Wyoming,White,Person,German
61,Male,Wyoming,White,Pumping Station Operator,Not reported
5,Male,Wyoming,White,Person,Not reported
14,Male,Wyoming,Mexican,Person,Mexican
50,Male,Wyoming,White,Building Cleaner,German
4,Female,Wyoming,Other specified American Indian tribes,Person,Native American
63,Male,Wyoming,White,Person,Scandinavian
11,Male,Wyoming,White,Person,Not reported
24,Male,Wyoming,Puerto Rican,Person,Italian
61,Male,Wyoming,White,Person,Uncodable entries
26,Female,Wyoming,White,Posting Clerk,German
63,Female,Wyoming,White,Order Filler,American
64,Male,Wyoming,White,Person,Portuguese
18,Female,Wyoming,Mexican,Office Clerk,White
19,Male,Wyoming,Other specified American Indian tribes,Person,Native American
7,Male,Wyoming,White,Person,European
14,Female,Wyoming,White,Person,White
44,Male,Wyoming,White,Personal Care Aid,English
26,Female,Wyoming,Filipino,Auditing Clerk,Filipino
68,Female,Wyoming,White,Person,Scottish
61,Female,Wyoming,White,Office Clerk,German
74,Female,Wyoming,White,Person,Swedish
2,Female,Wyoming,Mexican,Person,Mexican
22,Female,Wyoming,White,Licensed Vocational Nurs,English
47,Male,Wyoming,All other specified American Indian tribe combinations,Agricultural Worker,Native American
31,Female,Wyoming,All other specified American Indian tribe combinations,Registered Nurs,Not reported
10,Female,Wyoming,White,Person,Uncodable entries
35,Male,Wyoming,White,Construction Trad,Norwegian
14,Female,Wyoming,White,Person,German
60,Female,Wyoming,Blackfeet,Postal Service Clerk,American Indian
42,Male,Wyoming,Other American Indian and Alaska Native specified,Miscellaneous Production Worker,American Indian
45,Female,Wyoming,White,Cleaning Worker,Irish
48,Female,Wyoming,White,Manager,Pacific Islander
64,Female,Wyoming,White,Childcare Administrator,English
22,Female,Wyoming,White,Postsecondary Teacher,Not reported
70,Female,Wyoming,White,Person,Irish
11,Male,Wyoming,Black or African American,Person,Ethiopian
86,Female,Wyoming,White,Retail Salesperson,Not reported
17,Male,Wyoming,White,Person,Swedish
8,Male,Wyoming,White,Person,Irish
62,Male,Wyoming,White,Agricultural Manager,Not reported
25,Male,Wyoming,White,Pumping Station Operator,Not reported
28,Female,Wyoming,White,Home Health Aid,Not reported
26,Female,Wyoming,White,Order Filler,Scotch Irish
9,Male,Wyoming,White,Person,Not reported
13,Female,Wyoming,White,Person,American
18,Male,Wyoming,White,Retail Salesperson,Not reported
73,Female,Wyoming,White,Person,English
10,Female,Wyoming,Cheyenne,Person,Native American
49,Female,Wyoming,White,Engineer,Italian
93,Female,Wyoming,White,Person,English
8,Female,Wyoming,White,Person,American
16,Male,Wyoming,Two or More Races,Sports Official,English
51,Male,Wyoming,White,Groundskeeping Worker,Eastern European
87,Male,Wyoming,Mexican,Person,Mexican American
9,Male,Wyoming,White,Person,German
34,Male,Wyoming,White,Physician,English
15,Female,Wyoming,White,Person,American
73,Male,Wyoming,Two or More Races,Machinist,Irish
58,Male,Wyoming,White,Material Moving Worker,British
70,Male,Wyoming,White,Order Filler,Russian
35,Male,Wyoming,Some Other Race,Person,Not reported
35,Female,Wyoming,White,Teaching Assistant,German
51,Male,Wyoming,White,Messenger,Irish
68,Female,Wyoming,White,Person,Irish
55,Male,Wyoming,Two or More Races,Underground Mining Machine Operator,German
22,Male,Wyoming,Mexican,Police Officer,Mexican
75,Female,Wyoming,White,Person,Welsh
8,Male,Wyoming,White,Person,Irish
40,Female,Wyoming,Mexican,Order Filler,Mexican
61,Female,Wyoming,White,Registered Nurs,Scotch Irish
64,Male,Wyoming,White,Locomotive Engineer,Scottish
14,Female,Wyoming,White,Person,Not reported
67,Male,Wyoming,White,Electronic Engineering Technologist,Uncodable entries
14,Male,Wyoming,"American Indian and Alaska Native, not specified",Person,Native American
1,Male,Wyoming,White,Person,Not reported
93,Male,Wyoming,White,Person,German
23,Female,Wyoming,White,Person,Scottish
59,Female,Wyoming,White,Administrative Assistant,German
59,Male,Wyoming,White,Mobile Equipment Service Technician,Finnish
49,Male,Wyoming,White,Middle School Teacher,Not reported
37,Male,Wyoming,White,Conservation Scientist,Scottish
57,Female,Wyoming,White,Middle School Teacher,Not reported
60,Female,Wyoming,White,Operations Manager,German
38,Male,Wyoming,White,Person,English
61,Female,Wyoming,White,Sales Worker,German
37,Male,Wyoming,White,Construction Trad,German
93,Female,Wyoming,White,Person,English
46,Female,Wyoming,White,Human Resources Assistant,Not reported
78,Male,Wyoming,White,Person,German
